race_id,series,driver_key,driver_quality
F1_2020_1035_70th_anniversary_grand_prix,F1,807,0.25700129666338445
F1_2020_1035_70th_anniversary_grand_prix,F1,817,0.07752820924246927
F1_2020_1035_70th_anniversary_grand_prix,F1,822,0.18996539808240634
F1_2020_1035_70th_anniversary_grand_prix,F1,825,0.4324005787725513
F1_2020_1035_70th_anniversary_grand_prix,F1,826,0.14200058286092135
F1_2020_1035_70th_anniversary_grand_prix,F1,830,-0.987429878358901
F1_2020_1035_70th_anniversary_grand_prix,F1,832,-0.30201593137618143
F1_2020_1035_70th_anniversary_grand_prix,F1,839,0.22430988250173378
F1_2020_1035_70th_anniversary_grand_prix,F1,840,0.26228435001736605
F1_2020_1035_70th_anniversary_grand_prix,F1,841,0.3112789247217599
F1_2020_1035_70th_anniversary_grand_prix,F1,842,0.16330418928660187
F1_2020_1035_70th_anniversary_grand_prix,F1,844,-0.6077039477384804
F1_2020_1035_70th_anniversary_grand_prix,F1,846,-0.474521305111852
F1_2020_1035_70th_anniversary_grand_prix,F1,847,-0.2613485224504198
F1_2020_1035_70th_anniversary_grand_prix,F1,848,0.18880595492196522
F1_2020_1035_70th_anniversary_grand_prix,F1,849,0.7017026367191577
F1_2020_1036_spanish_grand_prix,F1,1,-0.6597514913006428
F1_2020_1036_spanish_grand_prix,F1,154,0.686092201265446
F1_2020_1036_spanish_grand_prix,F1,20,0.12225816771879856
F1_2020_1036_spanish_grand_prix,F1,8,0.3702387745700972
F1_2020_1036_spanish_grand_prix,F1,815,-0.3392308803499091
F1_2020_1036_spanish_grand_prix,F1,817,0.07676582491531003
F1_2020_1036_spanish_grand_prix,F1,822,0.19329780330014557
F1_2020_1036_spanish_grand_prix,F1,825,0.43880434433732907
F1_2020_1036_spanish_grand_prix,F1,826,0.14183701021812856
F1_2020_1036_spanish_grand_prix,F1,830,-0.9874646771750788
F1_2020_1036_spanish_grand_prix,F1,832,-0.3005936818895442
F1_2020_1036_spanish_grand_prix,F1,839,0.22329612042755484
F1_2020_1036_spanish_grand_prix,F1,840,0.26180727520324165
F1_2020_1036_spanish_grand_prix,F1,841,0.3237308044850498
F1_2020_1036_spanish_grand_prix,F1,842,0.16381986812990013
F1_2020_1036_spanish_grand_prix,F1,844,-0.6105160403266086
F1_2020_1036_spanish_grand_prix,F1,846,-0.47487104242748107
F1_2020_1036_spanish_grand_prix,F1,847,-0.2615996910812393
F1_2020_1036_spanish_grand_prix,F1,848,0.18308470875823663
F1_2020_1036_spanish_grand_prix,F1,849,0.7083306865256103
F1_2020_1037_belgian_grand_prix,F1,1,-0.661143836521422
F1_2020_1037_belgian_grand_prix,F1,154,0.6804143820750054
F1_2020_1037_belgian_grand_prix,F1,20,0.11485602986768725
F1_2020_1037_belgian_grand_prix,F1,8,0.36474386489588195
F1_2020_1037_belgian_grand_prix,F1,815,-0.3386319698774533
F1_2020_1037_belgian_grand_prix,F1,817,0.08442820898000239
F1_2020_1037_belgian_grand_prix,F1,822,0.19085933777422345
F1_2020_1037_belgian_grand_prix,F1,825,0.4352512901317078
F1_2020_1037_belgian_grand_prix,F1,826,0.11819467097731226
F1_2020_1037_belgian_grand_prix,F1,830,-0.9907737233830154
F1_2020_1037_belgian_grand_prix,F1,839,0.2271884448226644
F1_2020_1037_belgian_grand_prix,F1,840,0.2599659730596609
F1_2020_1037_belgian_grand_prix,F1,841,0.3245107667030051
F1_2020_1037_belgian_grand_prix,F1,842,0.16480829498662222
F1_2020_1037_belgian_grand_prix,F1,844,-0.6129410960731514
F1_2020_1037_belgian_grand_prix,F1,846,-0.47503197123032986
F1_2020_1037_belgian_grand_prix,F1,847,-0.2619644796720586
F1_2020_1037_belgian_grand_prix,F1,848,0.18447489171983575
F1_2020_1037_belgian_grand_prix,F1,849,0.7052989807005081
F1_2020_1038_italian_grand_prix,F1,1,-0.6592733112196474
F1_2020_1038_italian_grand_prix,F1,154,0.6699617681436283
F1_2020_1038_italian_grand_prix,F1,20,0.10042500706331417
F1_2020_1038_italian_grand_prix,F1,8,0.36642603900187826
F1_2020_1038_italian_grand_prix,F1,815,-0.3383721352924307
F1_2020_1038_italian_grand_prix,F1,817,0.08228281794677583
F1_2020_1038_italian_grand_prix,F1,822,0.18517475633607097
F1_2020_1038_italian_grand_prix,F1,825,0.44694767972769517
F1_2020_1038_italian_grand_prix,F1,826,0.13696559510667902
F1_2020_1038_italian_grand_prix,F1,830,-0.994758537993179
F1_2020_1038_italian_grand_prix,F1,832,-0.2963588181840414
F1_2020_1038_italian_grand_prix,F1,839,0.22609786143401323
F1_2020_1038_italian_grand_prix,F1,840,0.262355263772234
F1_2020_1038_italian_grand_prix,F1,841,0.32134283889165866
F1_2020_1038_italian_grand_prix,F1,842,0.16543327715437375
F1_2020_1038_italian_grand_prix,F1,844,-0.6155510860330228
F1_2020_1038_italian_grand_prix,F1,846,-0.4714616075409484
F1_2020_1038_italian_grand_prix,F1,847,-0.26144038789909335
F1_2020_1038_italian_grand_prix,F1,848,0.17810781425997121
F1_2020_1038_italian_grand_prix,F1,849,0.7034707833965218
F1_2020_1039_tuscan_grand_prix,F1,1,-0.6628148121863855
F1_2020_1039_tuscan_grand_prix,F1,154,0.6251945947378365
F1_2020_1039_tuscan_grand_prix,F1,20,0.11204196431176867
F1_2020_1039_tuscan_grand_prix,F1,8,0.36339991963042106
F1_2020_1039_tuscan_grand_prix,F1,815,-0.3387350582176675
F1_2020_1039_tuscan_grand_prix,F1,817,0.08135782109026636
F1_2020_1039_tuscan_grand_prix,F1,822,0.1910945996183421
F1_2020_1039_tuscan_grand_prix,F1,825,0.44320298367164634
F1_2020_1039_tuscan_grand_prix,F1,826,0.1348220900722271
F1_2020_1039_tuscan_grand_prix,F1,832,-0.29764078718161757
F1_2020_1039_tuscan_grand_prix,F1,839,0.22586273163338913
F1_2020_1039_tuscan_grand_prix,F1,840,0.26254027306778194
F1_2020_1039_tuscan_grand_prix,F1,841,0.3510954694473013
F1_2020_1039_tuscan_grand_prix,F1,844,-0.611570714625698
F1_2020_1039_tuscan_grand_prix,F1,846,-0.47503197123032986
F1_2020_1039_tuscan_grand_prix,F1,847,-0.2611387386444733
F1_2020_1039_tuscan_grand_prix,F1,848,0.18814506309352172
