series,n_driver_model,n_team_model,n_full_model,races_driver,races_team,races_full,r2_qualifying_driver,r2_driver_quality,r2_qualifying_driver_quality,incremental_r2_qualifying_driver,partial_r2_qualifying_driver,incremental_r2_driver_quality,r2_qualifying_team,r2_team_quality,r2_qualifying_team_quality,incremental_r2_qualifying_team,partial_r2_qualifying_team,incremental_r2_team_quality,r2_full,incremental_r2_qualifying_full
F1,2778,2779,2778,142,142,142,0.6366758202509352,0.45233840771179806,0.6882684094272633,0.23593000171546524,0.43079523018899085,0.05159258917632814,0.6367609299875525,0.476196431582492,0.6982984978713886,0.22210206628889667,0.4240178564645933,0.06153756788383613,0.7056008069789441,0.1862743247855716
IndyCar,2857,0,0,110,0,0,0.3339268467492318,0.29122776533359285,0.4023339322688033,0.11110616693521047,0.15675863345225993,0.06840708551957153,NA,NA,NA,NA,NA,NA,NA,NA
NASCAR,9695,9718,9695,272,272,272,0.1977575659668823,0.22553670503956008,0.25797898997332874,0.03244228493376866,0.04189002260646301,0.06022142400644645,0.1992093710579416,0.21261198120295144,0.2516708794449829,0.03905889824203146,0.049605654784669766,0.052461508387041306,0.2598907375102802,0.029795493958344577
