race_id,series,year,race_file,driver_key,race_laps,race_relative_pace,race_relative_time
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,817,68,-0.07791830450500518,-0.1039999999999992
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,822,68,-1.1058542614187772,-1.5074999999999932
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,825,69,0.10026348513720419,0.14400000000000546
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,826,68,0.36027947424057183,0.430499999999995
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,830,69,-0.7771931366500073,-0.8970000000000056
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,832,68,0.023848154333347853,0.021499999999996078
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,839,68,0.25631658708437366,0.35974999999999824
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,840,69,-0.5775508095329347,-0.6919999999999931
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,841,67,-0.024083161211093607,-0.033999999999991815
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,842,15,0.5014202967979997,1.0095000000000027
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,844,68,0.25060989306073733,0.34600000000000364
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,846,69,0.2363417565316753,0.30100000000001614
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,847,68,0.3301300666939032,0.3954999999999984
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,848,70,-0.025553868214618074,-0.04899999999999949
F1_2020_1033_hungarian_grand_prix,F1,2020,1033_hungarian_grand_prix,849,58,1.4435848892862129,1.4675000000000011
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,1,51,-1.8230431580272897,-1.5719999999999885
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,154,51,0,0
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,20,52,0.22673259847497135,0.23699999999999477
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,8,49,0.8795375793901822,0.7944999999999993
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,817,52,-0.18883287250468195,-0.1805000000000021
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,822,50,-1.732236775173974,-1.6510000000000034
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,825,1,0.7005981029431634,2.379000000000005
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,826,11,0.10508506401544682,0.12399999999999523
